"INFORMATION TYPE","DATE","MARKET PARTICIPANT","FACILITY NAME","FACILITY REGISTRATION STATUS","COMMISSIONING GENERATION FACILITY","FACILITY GENERATION TYPE","EMBEDDED STATUS","MAX GENERATION CAPACITY (MW)","MIN STABLE LOAD (MW)","MAX LOAD CURTAILMENT CAPACITY (MW)","MAX REGULATION CAPACITY (MW)","MAX PRIMARY RESERVE CAPACITY (MW)","MAX SECONDARY RESERVE CAPACITY (MW)","MAX CONTINGENCY RESERVE CAPACITY (MW)","FREQUENCY RESPONSIVE STATUS","LAST CHANGE DATE"
"RC","25-Apr-2024","AIR LIQUIDE SINGAPORE PTE LTD","DG : SOXHYD : GENR 2","GRF","-","ST","Y","13.600","-","-","-","-","-","-","NFR","29-Mar-2017"
"RC","25-Apr-2024","CLEANTECH SOLAR SGP ASSETS","IGS : 26TUAS12 : PV CTC1","GSF","-","IGS","Y","0.150","0.000","-","-","-","-","-","NFR","19-Mar-2019"
"RC","25-Apr-2024","CLEANTECH SOLAR SGP ASSETS","IGS : 6TSTH15 : PV CDT1","GSF","-","IGS","N","0.500","0.000","-","-","-","-","-","NFR","19-Nov-2019"
"RC","25-Apr-2024","CLEANTECH SOLAR SGP ASSETS","IGS : JKCIR : PV YMZ1","GSF","-","IGS","Y","1.260","0.000","-","-","-","-","-","NFR","20-Oct-2017"
"RC","25-Apr-2024","DIAMOND ELECTRIC PTE LTD","IL_DIA : JURISLD : COMP01","-","-","-","-","-","-","7.200","-","-","-","7.200","-","15-Dec-2022"
"RC","25-Apr-2024","DIAMOND ELECTRIC PTE LTD","IL_DIA : JURISLD : COMP02","-","-","-","-","-","-","0.000","-","-","-","3.800","-","23-Jan-2024"
"RC","25-Apr-2024","DIAMOND ELECTRIC PTE LTD","IL_DIA : JURISLD : REC01","-","-","-","-","-","-","4.000","-","-","-","2.700","-","28-Mar-2023"
"RC","25-Apr-2024","DIAMOND ELECTRIC PTE LTD","IL_DIA : SRYA : COMP01","-","-","-","-","-","-","0.000","-","-","-","2.000","-","26-Jul-2023"
"RC","25-Apr-2024","DIAMOND ELECTRIC PTE LTD","IL_DIA : UJRNG1 : COMP01","-","-","-","-","-","-","8.000","-","-","-","-","-","08-Feb-2024"
"RC","25-Apr-2024","ENGIE SOUTH EAST ASIA PTE LTD","IGS_A : ENGIESEA : PGIM1BL","GSF","-","IGS","N","1.870","0.000","-","-","-","-","-","NFR","05-Dec-2023"
"RC","25-Apr-2024","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON G3","GRF","-","CCGT/COGEN/TRIGEN","Y","110.000","-","-","-","-","-","-","NFR","30-Apr-2013"
"RC","25-Apr-2024","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON G4","GRF","-","CCGT/COGEN/TRIGEN","Y","110.000","-","-","-","-","-","-","NFR","30-Apr-2013"
"RC","25-Apr-2024","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON GA","GRF","-","CCGT/COGEN/TRIGEN","Y","40.300","-","-","-","-","-","-","NFR","01-Jun-2018"
"RC","25-Apr-2024","EXXONMOBIL ASIA PACIFIC","AGCEXXON : EXXON : EXON GB","GRF","-","CCGT/COGEN/TRIGEN","Y","40.300","-","-","-","-","-","-","NFR","01-Jun-2018"
"RC","25-Apr-2024","GREEN POWER ASIA PTE LTD","DG : GPAFOL : GENR","GSF","-","CCGT/COGEN/TRIGEN","Y","7.960","0.000","-","-","-","-","-","NFR","20-Apr-2016"
"RC","25-Apr-2024","HTSG ATO AIMS APAC REIT","IGS_A : HTSGAIMS : AA REITP","GSF","-","IGS","N","8.300","0.000","-","-","-","-","-","NFR","05-Oct-2023"
"RC","25-Apr-2024","JE GREEN SOLUTIONS PTE LTD","DG : CGNPCB : GENR","GSF","-","CCGT/COGEN/TRIGEN","N","9.900","0.000","-","-","-","-","-","NFR","07-Jun-2019"
