MCRId,FirstDate,FirstPeriod,LastDate,LastPeriod,LoadScenario,RunEndDate
16118700985802BCE0630A020A0B7998,2024-04-15,1,2024-04-15,1,M,2024-04-14
1611F25353E20188E0630A020A0BED33,2024-04-15,2,2024-04-15,2,M,2024-04-15
16125D9CA2E7020AE0630A020A0B6767,2024-04-15,3,2024-04-15,3,M,2024-04-15
1612C8E32D320278E0630A020A0B7713,2024-04-15,4,2024-04-15,4,M,2024-04-15
1613342C420801C8E0630A020A0B3CDF,2024-04-15,5,2024-04-15,5,M,2024-04-15
16139F773CF00282E0630A020A0B0883,2024-04-15,6,2024-04-15,6,M,2024-04-15
16140AC234C20248E0630A020A0BD3C0,2024-04-15,7,2024-04-15,7,M,2024-04-15
1614761268F60140E0630A020A0BF99E,2024-04-15,8,2024-04-15,8,M,2024-04-15
1614E15288630120E0630A020A0B1355,2024-04-15,9,2024-04-15,9,M,2024-04-15
16154C9C1C85014AE0630A020A0B5A4E,2024-04-15,10,2024-04-15,10,M,2024-04-15
1615B7EF90B00128E0630A020A0B4717,2024-04-15,11,2024-04-15,11,M,2024-04-15
1616232BB0E1027AE0630A020A0BDBAC,2024-04-15,12,2024-04-15,12,M,2024-04-15
16168E812D86012CE0630A020A0B6AE9,2024-04-15,13,2024-04-15,13,M,2024-04-15
1616F9C341810164E0630A020A0BD167,2024-04-15,14,2024-04-15,14,M,2024-04-15
161765159B0902FEE0630A020A0B1EB7,2024-04-15,15,2024-04-15,15,M,2024-04-15
1617D05AD89D0162E0630A020A0BD683,2024-04-15,16,2024-04-15,16,M,2024-04-15
16183BA2E0060140E0630A020A0B0367,2024-04-15,17,2024-04-15,17,M,2024-04-15
1618A6ED3BD1024CE0630A020A0B8339,2024-04-15,18,2024-04-15,18,M,2024-04-15
1619124030E102AAE0630A020A0B6A47,2024-04-15,19,2024-04-15,19,M,2024-04-15
16197D7C92C001BCE0630A020A0BA0B4,2024-04-15,20,2024-04-15,20,M,2024-04-15
1619E8CD6B760212E0630A020A0BE7BB,2024-04-15,21,2024-04-15,21,M,2024-04-15
161A541BB551015CE0630A020A0B6AE6,2024-04-15,22,2024-04-15,22,M,2024-04-15
161ABF667F0A01D4E0630A020A0B8CF8,2024-04-15,23,2024-04-15,23,M,2024-04-15
161B2AAFA2010152E0630A020A0B3482,2024-04-15,24,2024-04-15,24,M,2024-04-15
161B95F40C8A014EE0630A020A0BA779,2024-04-15,25,2024-04-15,25,M,2024-04-15
161C01419ACE01BEE0630A020A0BEB53,2024-04-15,26,2024-04-15,26,M,2024-04-15
161C6C8D66E401DAE0630A020A0BC9F2,2024-04-15,27,2024-04-15,27,M,2024-04-15
161CD7D16D4D0154E0630A020A0B9376,2024-04-15,28,2024-04-15,28,M,2024-04-15
161D431A4E3E029CE0630A020A0B0730,2024-04-15,29,2024-04-15,29,M,2024-04-15
161DAE5DFD030276E0630A020A0BD0F9,2024-04-15,30,2024-04-15,30,M,2024-04-15
161E19B1BBFE022CE0630A020A0B823A,2024-04-15,31,2024-04-15,31,M,2024-04-15
161E84FA9D6C01F2E0630A020A0B8F82,2024-04-15,32,2024-04-15,32,M,2024-04-15
161EF0493D0A01D2E0630A020A0BBFF9,2024-04-15,33,2024-04-15,33,M,2024-04-15
161F5B92601B015AE0630A020A0BD4E4,2024-04-15,34,2024-04-15,34,M,2024-04-15
161FC6D13BAB0294E0630A020A0B2C39,2024-04-15,35,2024-04-15,35,M,2024-04-15
1620321DC955016AE0630A020A0BC996,2024-04-15,36,2024-04-15,36,M,2024-04-15
16209D6194EF019CE0630A020A0BC875,2024-04-15,37,2024-04-15,37,M,2024-04-15
162108B4F5E40148E0630A020A0BC4E6,2024-04-15,38,2024-04-15,38,M,2024-04-15
162173F9FD960282E0630A020A0B7CEF,2024-04-15,39,2024-04-15,39,M,2024-04-15
1621DF42FCCF011AE0630A020A0B204B,2024-04-15,40,2024-04-15,40,M,2024-04-15
16224A9044660298E0630A020A0BCE0A,2024-04-15,41,2024-04-15,41,M,2024-04-15
1622B5D57FD3010AE0630A020A0B548B,2024-04-15,42,2024-04-15,42,M,2024-04-15
1623211F2D590292E0630A020A0B4360,2024-04-15,43,2024-04-15,43,M,2024-04-15
16238C708A790204E0630A020A0B00D1,2024-04-15,44,2024-04-15,44,M,2024-04-15
1623F7BC9B110154E0630A020A0BDE7B,2024-04-15,45,2024-04-15,45,M,2024-04-15
162462FCB7A50136E0630A020A0B4B16,2024-04-15,46,2024-04-15,46,M,2024-04-15
1624CE44206902E8E0630A020A0BF770,2024-04-15,47,2024-04-15,47,M,2024-04-15
1625398EA4C2018CE0630A020A0B412E,2024-04-15,48,2024-04-15,48,M,2024-04-15
