MCRId,FirstDate,FirstPeriod,LastDate,LastPeriod,LoadScenario,RunEndDate
16111F47FADD01A6E0630A020A0B0385,2024-04-15,1,2024-04-15,12,H,2024-04-14
16118A9CABF502B0E0630A020A0BB5B0,2024-04-15,2,2024-04-15,13,H,2024-04-14
1611F5DE2316021EE0630A020A0B76A9,2024-04-15,3,2024-04-15,14,H,2024-04-15
1612612B3C0302B4E0630A020A0B3477,2024-04-15,4,2024-04-15,15,H,2024-04-15
1612CC73459F01AAE0630A020A0BE396,2024-04-15,5,2024-04-15,16,H,2024-04-15
161337C70F9E0222E0630A020A0B371A,2024-04-15,6,2024-04-15,17,H,2024-04-15
1613A308288A02D8E0630A020A0BAB3B,2024-04-15,7,2024-04-15,18,H,2024-04-15
16140E4E3B3E016CE0630A020A0B51F5,2024-04-15,8,2024-04-15,19,H,2024-04-15
1614799BB4DD0182E0630A020A0BF371,2024-04-15,9,2024-04-15,20,H,2024-04-15
1614E4E237A802A6E0630A020A0B3EC8,2024-04-15,10,2024-04-15,21,H,2024-04-15
1615502B7F5A0116E0630A020A0BBDDC,2024-04-15,11,2024-04-15,22,H,2024-04-15
1615BB7C4ED0025CE0630A020A0BF825,2024-04-15,12,2024-04-15,23,H,2024-04-15
161626CADC1E0262E0630A020A0B7A14,2024-04-15,13,2024-04-15,24,H,2024-04-15
1616920DEBB80158E0630A020A0BE08B,2024-04-15,14,2024-04-15,25,H,2024-04-15
1616FD6087B602A6E0630A020A0B6F72,2024-04-15,15,2024-04-15,26,H,2024-04-15
161768A0799501C0E0630A020A0BF891,2024-04-15,16,2024-04-15,27,H,2024-04-15
1617D3F2C3400288E0630A020A0BF772,2024-04-15,17,2024-04-15,28,H,2024-04-15
16183F3BF06D02D0E0630A020A0B5BB7,2024-04-15,18,2024-04-15,29,H,2024-04-15
1618AA80096001E2E0630A020A0BC898,2024-04-15,19,2024-04-15,30,H,2024-04-15
161915C8BE5A02E0E0630A020A0BA311,2024-04-15,20,2024-04-15,31,H,2024-04-15
1619810CACCE01BAE0630A020A0B3E9A,2024-04-15,21,2024-04-15,32,H,2024-04-15
1619EC61CBA30142E0630A020A0B08B6,2024-04-15,22,2024-04-15,33,H,2024-04-15
161A57A8B9C70214E0630A020A0BB2A7,2024-04-15,23,2024-04-15,34,H,2024-04-15
161AC2F2B62602CAE0630A020A0B9D52,2024-04-15,24,2024-04-15,35,H,2024-04-15
161B2E34E8A002E0E0630A020A0B36E6,2024-04-15,25,2024-04-15,36,H,2024-04-15
161B998B08DF0138E0630A020A0B1A2E,2024-04-15,26,2024-04-15,37,H,2024-04-15
161C04CF0CCC01A6E0630A020A0B9A58,2024-04-15,27,2024-04-15,38,H,2024-04-15
161C70200B880136E0630A020A0BED35,2024-04-15,28,2024-04-15,39,H,2024-04-15
161CDB62E48602F0E0630A020A0B5D80,2024-04-15,29,2024-04-15,40,H,2024-04-15
161D46A782040244E0630A020A0BEA2A,2024-04-15,30,2024-04-15,41,H,2024-04-15
161DB1F02751027CE0630A020A0BB334,2024-04-15,31,2024-04-15,42,H,2024-04-15
161E1D407A5301A8E0630A020A0B08B9,2024-04-15,32,2024-04-15,43,H,2024-04-15
161E8886A9AB021AE0630A020A0B4E06,2024-04-15,33,2024-04-15,44,H,2024-04-15
161EF3D8790D01DEE0630A020A0B0293,2024-04-15,34,2024-04-15,45,H,2024-04-15
161F5F24D0CC0142E0630A020A0BC276,2024-04-15,35,2024-04-15,46,H,2024-04-15
161FCA6890650178E0630A020A0BE35F,2024-04-15,36,2024-04-15,47,H,2024-04-15
162035B7CC4701C4E0630A020A0B0380,2024-04-15,37,2024-04-15,48,H,2024-04-15
1620A0F913F302C2E0630A020A0BCCB3,2024-04-15,38,2024-04-16,1,H,2024-04-15
16210C428D4F01F2E0630A020A0B923B,2024-04-15,39,2024-04-16,2,H,2024-04-15
162177966073010CE0630A020A0BD63D,2024-04-15,40,2024-04-16,3,H,2024-04-15
1621E2D3ABF90292E0630A020A0B192E,2024-04-15,41,2024-04-16,4,H,2024-04-15
16224E203332026EE0630A020A0B56D7,2024-04-15,42,2024-04-16,5,H,2024-04-15
1622B970FA580122E0630A020A0BA3CA,2024-04-15,43,2024-04-16,6,H,2024-04-15
162324B367AF0180E0630A020A0BF3AB,2024-04-15,44,2024-04-16,7,H,2024-04-15
16238FFE757F02C2E0630A020A0BBEF5,2024-04-15,45,2024-04-16,8,H,2024-04-15
1623FB51217D01CAE0630A020A0BDE18,2024-04-15,46,2024-04-16,9,H,2024-04-15
1624668E8E5502D6E0630A020A0B35F3,2024-04-15,47,2024-04-16,10,H,2024-04-15
1624D1E2B3790278E0630A020A0B5DB6,2024-04-15,48,2024-04-16,11,H,2024-04-15
