MCRId,FirstDate,FirstPeriod,LastDate,LastPeriod,LoadScenario,RunEndDate
16111F47FAC101A6E0630A020A0B0385,2024-04-15,1,2024-04-15,12,M,2024-04-14
16118A9CAC0302B0E0630A020A0BB5B0,2024-04-15,2,2024-04-15,13,M,2024-04-14
1611F5DE22FA021EE0630A020A0B76A9,2024-04-15,3,2024-04-15,14,M,2024-04-15
1612612B3C1102B4E0630A020A0B3477,2024-04-15,4,2024-04-15,15,M,2024-04-15
1612CC73458301AAE0630A020A0BE396,2024-04-15,5,2024-04-15,16,M,2024-04-15
161337C70FAC0222E0630A020A0B371A,2024-04-15,6,2024-04-15,17,M,2024-04-15
1613A308286E02D8E0630A020A0BAB3B,2024-04-15,7,2024-04-15,18,M,2024-04-15
16140E4E3B4C016CE0630A020A0B51F5,2024-04-15,8,2024-04-15,19,M,2024-04-15
1614799BB4C10182E0630A020A0BF371,2024-04-15,9,2024-04-15,20,M,2024-04-15
1614E4E237B602A6E0630A020A0B3EC8,2024-04-15,10,2024-04-15,21,M,2024-04-15
1615502B7F3E0116E0630A020A0BBDDC,2024-04-15,11,2024-04-15,22,M,2024-04-15
1615BB7C4EDE025CE0630A020A0BF825,2024-04-15,12,2024-04-15,23,M,2024-04-15
161626CADC020262E0630A020A0B7A14,2024-04-15,13,2024-04-15,24,M,2024-04-15
1616920DEBC60158E0630A020A0BE08B,2024-04-15,14,2024-04-15,25,M,2024-04-15
1616FD60879A02A6E0630A020A0B6F72,2024-04-15,15,2024-04-15,26,M,2024-04-15
161768A079A301C0E0630A020A0BF891,2024-04-15,16,2024-04-15,27,M,2024-04-15
1617D3F2C3240288E0630A020A0BF772,2024-04-15,17,2024-04-15,28,M,2024-04-15
16183F3BF07B02D0E0630A020A0B5BB7,2024-04-15,18,2024-04-15,29,M,2024-04-15
1618AA80094401E2E0630A020A0BC898,2024-04-15,19,2024-04-15,30,M,2024-04-15
161915C8BE6802E0E0630A020A0BA311,2024-04-15,20,2024-04-15,31,M,2024-04-15
1619810CACB201BAE0630A020A0B3E9A,2024-04-15,21,2024-04-15,32,M,2024-04-15
1619EC61CBB10142E0630A020A0B08B6,2024-04-15,22,2024-04-15,33,M,2024-04-15
161A57A8B9AB0214E0630A020A0BB2A7,2024-04-15,23,2024-04-15,34,M,2024-04-15
161AC2F2B63402CAE0630A020A0B9D52,2024-04-15,24,2024-04-15,35,M,2024-04-15
161B2E34E88402E0E0630A020A0B36E6,2024-04-15,25,2024-04-15,36,M,2024-04-15
161B998B08ED0138E0630A020A0B1A2E,2024-04-15,26,2024-04-15,37,M,2024-04-15
161C04CF0CB001A6E0630A020A0B9A58,2024-04-15,27,2024-04-15,38,M,2024-04-15
161C70200B960136E0630A020A0BED35,2024-04-15,28,2024-04-15,39,M,2024-04-15
161CDB62E46A02F0E0630A020A0B5D80,2024-04-15,29,2024-04-15,40,M,2024-04-15
161D46A782120244E0630A020A0BEA2A,2024-04-15,30,2024-04-15,41,M,2024-04-15
161DB1F02735027CE0630A020A0BB334,2024-04-15,31,2024-04-15,42,M,2024-04-15
161E1D407A6101A8E0630A020A0B08B9,2024-04-15,32,2024-04-15,43,M,2024-04-15
161E8886A98F021AE0630A020A0B4E06,2024-04-15,33,2024-04-15,44,M,2024-04-15
161EF3D8791B01DEE0630A020A0B0293,2024-04-15,34,2024-04-15,45,M,2024-04-15
161F5F24D0B00142E0630A020A0BC276,2024-04-15,35,2024-04-15,46,M,2024-04-15
161FCA6890730178E0630A020A0BE35F,2024-04-15,36,2024-04-15,47,M,2024-04-15
162035B7CC2B01C4E0630A020A0B0380,2024-04-15,37,2024-04-15,48,M,2024-04-15
1620A0F9140102C2E0630A020A0BCCB3,2024-04-15,38,2024-04-16,1,M,2024-04-15
16210C428D3301F2E0630A020A0B923B,2024-04-15,39,2024-04-16,2,M,2024-04-15
162177966081010CE0630A020A0BD63D,2024-04-15,40,2024-04-16,3,M,2024-04-15
1621E2D3ABDD0292E0630A020A0B192E,2024-04-15,41,2024-04-16,4,M,2024-04-15
16224E203340026EE0630A020A0B56D7,2024-04-15,42,2024-04-16,5,M,2024-04-15
1622B970FA3C0122E0630A020A0BA3CA,2024-04-15,43,2024-04-16,6,M,2024-04-15
162324B367BD0180E0630A020A0BF3AB,2024-04-15,44,2024-04-16,7,M,2024-04-15
16238FFE756302C2E0630A020A0BBEF5,2024-04-15,45,2024-04-16,8,M,2024-04-15
1623FB51218B01CAE0630A020A0BDE18,2024-04-15,46,2024-04-16,9,M,2024-04-15
1624668E8E3902D6E0630A020A0B35F3,2024-04-15,47,2024-04-16,10,M,2024-04-15
1624D1E2B3870278E0630A020A0B5DB6,2024-04-15,48,2024-04-16,11,M,2024-04-15
