ForecastDate,ForecastPeriod,TotalLoad,TCL,RLQ,USEP,CUSEP,LCP,EnergyShortfall,TransmissionLoss,EHEUR,Solar
2024-04-15,38,7303.896,0.000,483.934,185.71,,0.00,0,38.747,-0.87,35.34
2024-04-15,39,7310.749,0.000,499.845,184.96,,0.00,0,38.713,-0.81,3.56
2024-04-15,40,7311.51,0.000,512.317,185.01,,0.00,0,38.838,-0.83,0
2024-04-15,41,7303.329,0.000,520.145,185.82,,0.00,0,39.125,-0.85,0
2024-04-15,42,7274.821,0.000,524.513,185.84,,0.00,0,39.118,-0.83,0
2024-04-15,43,7231.234,0.000,527.075,185.26,,0.00,0,39.12,-0.81,0
2024-04-15,44,7139.115,0.000,521.796,185.04,,0.00,0,38.498,-0.81,0
2024-04-15,45,6995.602,0.000,509.038,185,,0.00,0,37.43,-0.82,0
2024-04-15,46,6867.868,0.000,492.625,184.6,,0.00,0,36.365,-0.82,0
2024-04-15,47,6747.042,0.000,471.344,181.49,,0.00,0,35.683,-0.76,0
2024-04-15,48,6511.921,0.000,437.837,137.95,,0.00,0,33.335,-0.54,0
2024-04-16,1,6274.325,0.000,424.449,132.82,,0.00,0,31.265,-0.51,0
