ForecastDate,ForecastPeriod,TotalLoad,TCL,RLQ,USEP,CUSEP,LCP,EnergyShortfall,TransmissionLoss,EHEUR,Solar
2024-04-15,38,7103.896,0.000,483.934,181.57,,0.00,0,36.879,-0.82,35.34
2024-04-15,39,7110.749,0.000,499.845,181.16,,0.00,0,36.999,-0.79,3.56
2024-04-15,40,7111.51,0.000,512.317,181.25,,0.00,0,37.08,-0.80,0
2024-04-15,41,7103.329,0.000,520.145,184.58,,0.00,0,37.433,-0.84,0
2024-04-15,42,7074.821,0.000,524.513,184.58,,0.00,0,37.399,-0.85,0
2024-04-15,43,7031.234,0.000,527.075,184.56,,0.00,0,37.175,-0.83,0
2024-04-15,44,6939.115,0.000,521.796,181.89,,0.00,0,36.748,-0.81,0
2024-04-15,45,6795.602,0.000,509.038,167.62,,0.00,0,36.028,-0.74,0
2024-04-15,46,6667.868,0.000,492.625,138.12,,0.00,0,34.834,-0.57,0
2024-04-15,47,6547.042,0.000,471.344,128.9,,0.00,0,33.592,-0.52,0
2024-04-15,48,6311.921,0.000,437.837,111.51,,0.00,0,31.268,-0.43,0
2024-04-16,1,6074.325,0.000,424.449,101.87,,0.00,0,29.247,-0.40,0
